Kast nr., Tern. 1, Tern. 2
1, 2, 1
2, 5, 4
3, 2, 6
4, 2, 1
5, 3, 2
6, 1, 4
7, 3, 4
8, 6, 4
9, 2, 4
10, 2, 4
11, 3, 4
12, 2, 3
13, 1, 6
14, 5, 5
15, 6, 2
16, 2, 2
17, 4, 2
18, 5, 5
19, 4, 5
20, 2, 1
21, 6, 3
22, 6, 3
23, 6, 4
24, 3, 3
25, 1, 3
26, 4, 3
27, 2, 2
28, 5, 1
29, 1, 4
30, 6, 2
31, 4, 2
32, 1, 5
33, 3, 3
34, 5, 3
35, 2, 1
36, 4, 1
37, 2, 4
38, 1, 6
39, 2, 1
40, 2, 2
41, 5, 1
42, 3, 6
43, 3, 5
44, 1, 2
45, 3, 2
46, 5, 3
47, 5, 1
48, 5, 6
49, 1, 5
50, 3, 1
51, 2, 3
52, 4, 1
53, 2, 4
54, 5, 4
55, 3, 5
56, 1, 2
57, 3, 1
58, 6, 2
59, 5, 6
60, 2, 3
61, 5, 1
62, 5, 5
63, 6, 2
64, 3, 5
65, 2, 2
66, 1, 6
67, 4, 1
68, 3, 4
69, 3, 4
70, 2, 3
71, 2, 2
72, 6, 6
73, 6, 6
74, 2, 6
75, 6, 6
76, 3, 2
77, 2, 6
78, 2, 6
79, 2, 4
80, 4, 4
81, 5, 4
82, 5, 2
83, 6, 3
84, 4, 4
85, 5, 4
86, 6, 3
87, 1, 2
88, 4, 4
89, 6, 5
90, 6, 1
91, 3, 6
92, 4, 5
93, 5, 4
94, 1, 6
95, 2, 2
96, 6, 4
97, 6, 3
98, 6, 3
99, 6, 2
100, 2, 5
101, 2, 2
102, 2, 3
103, 1, 4
104, 6, 1
105, 3, 3
106, 3, 2
107, 2, 1
108, 6, 2
109, 4, 6
110, 3, 1
111, 2, 1
112, 3, 2
113, 1, 1
114, 6, 6
115, 3, 6
116, 4, 1
117, 6, 5
118, 6, 4
119, 2, 6
120, 4, 5
121, 6, 2
122, 6, 6
123, 6, 1
124, 5, 6
125, 3, 1
126, 2, 3
127, 6, 6
128, 3, 6
129, 4, 5
130, 1, 6
131, 6, 3
132, 2, 4
133, 1, 5
134, 6, 3
135, 5, 5
136, 3, 3
137, 4, 4
138, 1, 2
139, 1, 5
140, 6, 5
141, 1, 1
142, 1, 5
143, 5, 6
144, 3, 3
145, 6, 4
146, 4, 2
147, 1, 3
148, 4, 4
149, 6, 3
150, 4, 5
151, 3, 1
152, 5, 1
153, 2, 2
154, 1, 6
155, 6, 1
156, 3, 2
157, 5, 4
158, 3, 1
159, 3, 6
160, 1, 3
161, 4, 3
162, 4, 3
163, 4, 3
164, 3, 3
165, 3, 6
166, 5, 4
167, 6, 2
168, 1, 2
169, 4, 5
170, 6, 2
171, 3, 1
172, 2, 6
173, 2, 3
174, 3, 6
175, 2, 5
176, 6, 4
177, 1, 3
178, 1, 2
179, 6, 6
180, 3, 6
181, 1, 5
182, 3, 1
183, 6, 2
184, 3, 6
185, 3, 2
186, 4, 2
187, 6, 2
188, 2, 4
189, 3, 4
190, 2, 6
191, 3, 5
192, 5, 6
193, 6, 3
194, 3, 5
195, 5, 3
196, 4, 2
197, 6, 3
198, 1, 3
199, 1, 1
200, 6, 2
201, 6, 3
202, 3, 2
203, 3, 3
204, 4, 2
205, 4, 4
206, 1, 6
207, 1, 6
208, 4, 2
209, 1, 3
210, 1, 3
211, 1, 1
212, 6, 6
213, 5, 6
214, 2, 1
215, 4, 4
216, 5, 4
217, 6, 6
218, 5, 4
219, 1, 1
220, 5, 6
221, 2, 2
222, 5, 2
223, 2, 6
224, 1, 5
225, 6, 2
226, 2, 4
227, 3, 6
228, 1, 3
229, 2, 2
230, 4, 2
231, 3, 5
232, 1, 5
233, 5, 1
234, 1, 3
235, 4, 2
236, 5, 3
237, 2, 1
238, 1, 5
239, 2, 4
240, 2, 5
241, 3, 5
242, 3, 4
243, 4, 5
244, 6, 3
245, 2, 4
246, 4, 5
247, 2, 2
248, 6, 3
249, 4, 4
250, 3, 1
251, 5, 4
252, 5, 6
253, 3, 5
254, 4, 3
255, 3, 2
256, 3, 5
257, 6, 5
258, 5, 2
259, 1, 5
260, 4, 1
261, 5, 3
262, 6, 1
263, 4, 3
264, 1, 6
265, 3, 6
266, 6, 4
267, 5, 4
268, 5, 3
269, 3, 1
270, 6, 1
271, 1, 6
272, 6, 4
273, 5, 5
274, 4, 2
275, 6, 2
276, 1, 3
